2331310884,0.5,0,0.2,0.666666667,1.833696048
3043597667,0.5,1,0,0,1.200666263
3195658448,0,0,0.2,0.166666667,0.589255473
457290366,0,0,0.3,0,0.556163673
793827708,0,0,0.2,0,0.378721792
610912910,0,0,0.1,0,0.201279911
313699878,0,0,0,0.083333333,0.12910487
68805967,0,0,0,0.083333333,0.12910487
38965758,0,0,0,0,0.02383803
1077012906,0,0,0,0,0.02383803
3062002712,0,0,0,0,0.02383803
2419280466,0,0,0,0,0.02383803
20728160,0,0,0,0,0.02383803
1377410353,0,0,0,0,0.02383803
3279897956,0,0,0,0,0.02383803
